carparkid,address,ev_station,rates_id, 
ACB,BLK 270/271 ALBERT CENTRE BASEMENT CAR PARK,yes,R1,
ACM,BLK 98A ALJUNIED CRESCENT,yes,R1,
AH1,BLK 101 JALAN DUSUN,no,R1,
AM14,BLK 227 ANG MO KIO ST 23,no,R2,
AM16,BLK 256A ANG MO KIO STREET 21,no,R1,
AM18,BLK 308C ANG MO KIO AVE 1,yes,R2,
AM19,BLK 260 ANG MO KIO ST 21,no,R2,
AM20,BLK 309B ANG MO KIO ST 31,yes,R1,
AM22,BLK 316B ANG MO KIO STREET 31,no,R1,
AM32,BLK 255A ANG MO KIO ST 21,no,R2,
AM43,BLK 455 ANG MO KIO ST 44,no,R2,
AM46,BLK 588 ANG MO KIO STREET 52,no,R1,
AM51,BLK 700 ANG MO KIO AVE 6,no,R1,
AM64,BLK 590 ANG MO KIO ST 51,no,R1,
AM79,BLK 596 ANG MO KIO STREEET 52,yes,R1,
AM80,BLK 130A ANG MO KIO ST 12,no,R2,
AM81,BLK 132A ANG MO KIO ST 12,no,R2,
AM96,BLK 352A ANG MO KIO STREET 32,yes,R1,
AR1L,3 AND 5 DOVER ROAD,no,R2,
AR1M,BLK 2A DOVER ROAD,no,R2,
AR2L,BLK 26 AND 27 DOVER CRESCENT,yes,R2,
AR2M,BLK 28 DOVER CRESCENT,yes,R1,
AR5M,BLK 19A DOVER CRESCENT,yes,R2,
AR7L,12 TO 14 DOVER CLOSE EAST,no,R2,
AR7M,BLK 12A DOVER CLOSE EAST,no,R2,
AR9,BLK 20/22/23 DOVER CRESCENT,yes,R1,
AV1,BLK 120/120A/121-127 ALEXANDRA VILLAGE,yes,R1,
A10,BLK 201/202 ANG MO KIO STREET 22,yes,R2,
A100,BLK 650 ANG MO KIO STREET 61,no,R2,
A11,BLK 223/226/226A-226D ANG MO KIO ST 22,yes,R1,
A13,BLK 232/233 ANG MO KIO ST 22,yes,R1,
A15,BLK 226E-226H ANG MO KIO ST 22,yes,R2,
A2,BLK 206/207 ANG MO KIO STREET 22,no,R1,
A20,BLK 304/307/319 ANG MO KIO ST 31,no,R1,
A21,BLK 325/326/301 ANG MO KIO STREET 31,no,R2,
A24,BLK 338/340 ANG MO KIO ST 32,yes,R2,
A25,BLK 330/337 ANG MO KIO AVE 8,yes,R1,
A26,BLK 113/114/118 ANG MO KIO AVE 4,no,R2,
A27,BLK 108/109/110 ANG MO KIO ST 11,yes,R2,
A28,BLK 103/105/107 ANG MO KIO ST 11,yes,R2,
A29,BLK 347 ANG MO KIO AVENUE 3,yes,R2,
A30,BLK 129/134 ANG MO KIO STREET 12,yes,R1,
A31,BLK 119/128 ANG MO KIO ST 12,no,R1,
A33,BLK 253/254 ANG MO KIO STREET 21,yes,R1,
A34,BLK 422/425 ANG MO KIO ST 42,yes,R2,
A35,BLK 426/428/435 ANG MO KIO ST 43,no,R2,
A36,BLK 436/443/445 ANG MO KIO ST 43,yes,R1,
A37,BLK 446/449/453 ANG MO KIO ST 43,yes,R2,
A38,BLK 407/410/421 ANG MO KIO AVE 10,no,R1,
A39,BLK 401/405 ANG MO KIO AVE 10,yes,R2,
A4,BLK 217/220 ANG MO KIO AVENUE 1,yes,R1,
A40,BLK 471/476 ANG MO KIO ST 44,no,R2,
A41,BLK 466/470 ANG MO KIO ST 44,no,R2,
A42,BLK 461/465 ANG MO KIO ST 44,yes,R1,
A43,BLK 457/458/460 ANG MO KIO ST 44,no,R1,
A44,BLK 459/456 ANG MO KIO ST 44,yes,R1,
A45,BLK 570/578 ANG MO KIO ST 51,no,R2,
A47,BLK 562/565/560 ANG MO KIO STREET 54,yes,R2,
A48,BLK 571/73 ANG MO KIO ST 51,yes,R2,
A49,BLK 555/559 ANG MO KIO STREET 54,yes,R1,
A50,BLK 548/552/556 ANG MO KIO STREET 54,no,R1,
A51,BLK 252/253A ANG MO KIO STREET 21,no,R2,
A52,BLK 701/716 ANG MO KIO AVE 3/6,no,R1,
A53,BLK 712A ANG MO KIO AVE 3/6,no,R1,
A54,BLK 727/728 ANG MO KIO AVE 6,no,R1,
A59,BLK 547/551 ANG MO KIO ST 54,no,R2,
A60,BLK 540/546 ANG MO KIO ST 54,no,R2,
A61,BLK 520/534/529 ANG MO KIO AVE 5/10,no,R1,
A63,BLK 501/513/508 ANG MO KIO ST 52/53,no,R2,
A64,BLK 584/586 ANG MO KIO ST 51,yes,R1,
A65,BLK 558/560 ANG MO KIO STREET 54,no,R2,
A66,BLK 601/604/603 ANG MO KIO AVE 5,no,R1,
A67,BLK 605/612 ANG MO KIO AVE 4/5,yes,R1,
A68,BLK 620/624/626 ANG MO KIO ST 61,yes,R1,
A69,BLK 623/625/627 ANG MO KIO ST 61,no,R2,
A7,BLK 212/213 ANG MO KIO STREET 23,yes,R2,
A70,BLK 629/626 ANG MO KIO AVE 4,no,R1,
A71,BLK 628/632 ANG MO KIO ST 61,yes,R2,
A72,BLK 633/640 ANG MO KIO ST 61,no,R2,
A73,BLK 641/645 ANG MO KIO ST 61,yes,R1,
A74,BLK 646/649 ANG MO KIO ST 61,yes,R2,
A75,BLK 177/182 ANG MO KIO AVE 4,no,R2,
A76,BLK 613A ANG MO KIO AVENUE 4,no,R2,
A77,BLK 150/156 ANG MO KIO AVE 5,no,R2,
A78,BLK 157/163 ANG MO KIO AVE 4,no,R1,
A8,BLK 209/210 ANG MO KIO STREET 22,yes,R1,
A81,BLK 170/172 ANG MO KIO ST 13,no,R2,
A82,BLK 173/176 ANG MO KIO AVE 4,no,R1,
A85,BLK 340 ANG MO KIO ST 32,no,R1,
A87,BLK 462/463 ANG MO KIO ST 44,no,R2,
A88,BLK 348 ANG MO KIO AVE 3,yes,R1,
A9,BLK 202/203 ANG MO KIO STREET 22,no,R1,
A94,BLK 104C ANG MO KIO STREET 11,no,R1,
A98,BLK 259 ANG MO KIO AVE 2,yes,R1,
BA1,106 BIDADARI PARK DRIVE,yes,R2,
BA2,BLK 117 ALKAFF CRESCENT,no,R2,
BA3,BLK 101 BIDADARI PARK DRIVE,yes,R2,
BA4,BLK 113 ALKAFF CRESCENT,no,R2,
BBB,BLK 232 BRAS BASAH BASEMENT CAR PARK,yes,R1,
BBM1,BLK 188A BUKIT BATOK WEST AVE 6,no,R2,
BBM2,BLK 628A BUKIT BATOK CENTRAL,no,R2,
BBM3,BLK 289H BUKIT BATOK STREET 25,no,R2,
BBM5,BLK 290H BUKIT BATOK STREET 24,no,R1,
BBM8,BLK 622A BUKIT BATOK CENTRAL,yes,R1,
BBM9,BLK 395A BUKIT BATOK WEST AVE 5,no,R2,
BE10,BLKS 168-180 BISHAN STREET 13,yes,R2,
BE11,BLK 181-186 BISHAN STREET 13,yes,R2,
BE13,BLK 135A BISHAN STREET 12,yes,R2,
BE14,BLK 167A BISHAN STREET 13,no,R2,
BE18,BLK 441-455 SIN MING/BRIGHT HILL DRIVE,no,R1,
BE19,BLK 503/504 BISHAN STREET 11,yes,R1,
BE22,BLK 511/513 BISHAN STREET 13,no,R1,
BE23,BLK 514 BISHAN STREET 13,no,R1,
BE25,BLK 207A BISHAN STREET 23,yes,R1,
BE26,BLK 207/212/216/217 BISHAN STREET 23,no,R1,
BE27,BLK 212A BISHAN STREET 23,yes,R2,
BE28,"BLK 213-215,218-227 BISHAN STREET 23",yes,R2,
BE29,BLK 228-231 BISHAN STREET 23,yes,R1,
BE3,BLK 401-408 SIN MING AVE,no,R1,
BE3R,BLK 410A SIN MING AVE,no,R1,
BE30,BLK 231A BISHAN STREET 23,no,R2,
BE31,BLK 232-237 BISHAN STREET 22,no,R2,
BE32,BLK 237A BISHAN STREET 22,no,R1,
BE33,BLK 238-245 BISHAN STREET 22,yes,R2,
BE34,BLK 246A BISHAN STREET 22,no,R1,
BE35,BLK 246-256 BISHAN STREET 22,no,R1,
