carparkid,car_park_type,total_lots, 
ACB,BASEMENT CAR PARK,96,
ACM,MULTI-STOREY CAR PARK,290,
AH1,SURFACE CAR PARK,278,
AM14,MULTI-STOREY CAR PARK,350,
AM16,MULTI-STOREY CAR PARK,115,
AM18,MULTI-STOREY CAR PARK,451,
AM19,MULTI-STOREY CAR PARK,328,
AM20,MULTI-STOREY CAR PARK,676,
AM22,MULTI-STOREY CAR PARK,289,
AM32,MULTI-STOREY CAR PARK,91,
AM43,MULTI-STOREY CAR PARK,465,
AM46,MULTI-STOREY CAR PARK,408,
AM51,MULTI-STOREY CAR PARK,269,
AM64,MULTI-STOREY CAR PARK,552,
AM79,MULTI-STOREY CAR PARK,472,
AM80,MULTI-STOREY CAR PARK,191,
AM81,MULTI-STOREY CAR PARK,222,
AM96,MULTI-STOREY CAR PARK,525,
AR1L,SURFACE CAR PARK,4,
AR1M,MULTI-STOREY CAR PARK,196,
AR2L,SURFACE CAR PARK,4,
AR2M,MULTI-STOREY CAR PARK,696,
AR5M,MULTI-STOREY CAR PARK,419,
AR7L,SURFACE CAR PARK,4,
AR7M,MULTI-STOREY CAR PARK,295,
AR9,SURFACE CAR PARK,64,
AV1,SURFACE CAR PARK,277,
A10,SURFACE CAR PARK,64,
A100,SURFACE CAR PARK,64,
A11,SURFACE CAR PARK,368,
A13,SURFACE CAR PARK,199,
A15,SURFACE CAR PARK,59,
A2,SURFACE CAR PARK,188,
A20,SURFACE CAR PARK,83,
A21,SURFACE CAR PARK,633,
A24,SURFACE CAR PARK,214,
A25,SURFACE CAR PARK,543,
A26,SURFACE CAR PARK,333,
A27,SURFACE CAR PARK,251,
A28,SURFACE CAR PARK,84,
A29,SURFACE CAR PARK,435,
A30,SURFACE CAR PARK,12,
A31,SURFACE CAR PARK,310,
A33,SURFACE CAR PARK,2,
A34,SURFACE CAR PARK,220,
A35,SURFACE CAR PARK,555,
A36,SURFACE CAR PARK,680,
A37,SURFACE CAR PARK,193,
A38,SURFACE CAR PARK,938,
A39,SURFACE CAR PARK,200,
A4,SURFACE CAR PARK,337,
A40,SURFACE CAR PARK,520,
A41,SURFACE CAR PARK,308,
A42,SURFACE CAR PARK,166,
A43,SURFACE CAR PARK,141,
A44,SURFACE CAR PARK,157,
A45,SURFACE CAR PARK,397,
A47,SURFACE CAR PARK,303,
A48,SURFACE CAR PARK,62,
A49,SURFACE CAR PARK,179,
A50,SURFACE CAR PARK,206,
A51,SURFACE CAR PARK,40,
A52,SURFACE CAR PARK,150,
A53,MULTI-STOREY CAR PARK,870,
A54,SURFACE CAR PARK,743,
A59,SURFACE CAR PARK,172,
A60,SURFACE CAR PARK,517,
A61,SURFACE CAR PARK,1129,
A63,SURFACE CAR PARK,715,
A64,SURFACE CAR PARK,132,
A65,SURFACE CAR PARK,97,
A66,SURFACE CAR PARK,150,
A67,SURFACE CAR PARK,717,
A68,SURFACE CAR PARK,158,
A69,SURFACE CAR PARK,476,
A7,SURFACE CAR PARK,238,
A70,SURFACE CAR PARK,134,
A71,SURFACE CAR PARK,185,
A72,SURFACE CAR PARK,358,
A73,SURFACE CAR PARK,414,
A74,SURFACE CAR PARK,185,
A75,SURFACE CAR PARK,354,
A76,MULTI-STOREY CAR PARK,636,
A77,SURFACE CAR PARK,267,
A78,SURFACE CAR PARK,546,
A8,SURFACE CAR PARK,52,
A81,SURFACE CAR PARK,118,
A82,SURFACE CAR PARK,201,
A85,SURFACE CAR PARK,89,
A87,SURFACE CAR PARK,124,
A88,SURFACE CAR PARK,44,
A9,SURFACE CAR PARK,146,
A94,MULTI-STOREY CAR PARK,234,
A98,SURFACE CAR PARK,108,
BA1,MULTI-STOREY CAR PARK,278,
BA2,MULTI-STOREY CAR PARK,361,
BA3,MULTI-STOREY CAR PARK,622,
BA4,MULTI-STOREY CAR PARK,619,
BBB,BASEMENT CAR PARK,184,
BBM1,MULTI-STOREY CAR PARK,406,
BBM2,MULTI-STOREY CAR PARK,285,
BBM3,MULTI-STOREY CAR PARK,1214,
BBM5,MULTI-STOREY CAR PARK,951,
BBM8,MULTI-STOREY CAR PARK,329,
BBM9,MULTI-STOREY CAR PARK,1200,
BE10,SURFACE CAR PARK,625,
BE11,SURFACE CAR PARK,352,
BE13,MULTI-STOREY CAR PARK,220,
BE14,MULTI-STOREY CAR PARK,332,
BE18,SURFACE CAR PARK,560,
BE19,SURFACE CAR PARK,380,
BE22,SURFACE CAR PARK,8,
BE23,MULTI-STOREY CAR PARK,563,
BE25,MULTI-STOREY CAR PARK,263,
BE26,SURFACE CAR PARK,65,
BE27,MULTI-STOREY CAR PARK,362,
BE28,SURFACE CAR PARK,295,
BE29,SURFACE CAR PARK,48,
BE3,SURFACE CAR PARK,306,
BE3R,MULTI-STOREY CAR PARK,195,
BE30,MULTI-STOREY CAR PARK,345,
BE31,SURFACE CAR PARK,300,
BE32,MULTI-STOREY CAR PARK,200,
BE33,SURFACE CAR PARK,269,
BE34,MULTI-STOREY CAR PARK,303,
BE35,SURFACE CAR PARK,217,
BE36,SURFACE CAR PARK,82,
BE37,MULTI-STOREY CAR PARK,402,
BE38,SURFACE CAR PARK,31,
BE4,SURFACE CAR PARK,770,
BE42,MULTI-STOREY CAR PARK,852,
BE44,MULTI-STOREY CAR PARK,424,
BE5,SURFACE CAR PARK,647,
BE6,SURFACE CAR PARK,170,
BE7,SURFACE CAR PARK,119,
BE8,SURFACE CAR PARK,544,
BE9,SURFACE CAR PARK,711,
BJAL,SURFACE CAR PARK,38,
BJBL,SURFACE CAR PARK,13,
BJMP,MECHANISED CAR PARK,63,
BJ1,SURFACE CAR PARK,457,
BJ13,SURFACE CAR PARK,362,
BJ14,SURFACE CAR PARK,63,
BJ15,MULTI-STOREY CAR PARK,37,
BJ16,MULTI-STOREY CAR PARK,311,
BJ19,SURFACE CAR PARK,491,
BJ2,SURFACE CAR PARK,385,
BJ20,SURFACE CAR PARK,235,
BJ21,SURFACE CAR PARK,183,
BJ23,SURFACE CAR PARK,16,
BJ24,SURFACE CAR PARK,258,
BJ25,MULTI-STOREY CAR PARK,264,
BJ26,MULTI-STOREY CAR PARK,192,
BJ27,MULTI-STOREY CAR PARK,305,
BJ29,MULTI-STOREY CAR PARK,1318,
BJ30,MULTI-STOREY CAR PARK,611,
BJ31,MULTI-STOREY CAR PARK,88,
BJ32,MULTI-STOREY CAR PARK,484,
BJ34,MULTI-STOREY CAR PARK,140,
BJ35,MULTI-STOREY CAR PARK,140,
BJ36,MULTI-STOREY CAR PARK,140,
BJ37,MULTI-STOREY CAR PARK,512,
BJ38,MULTI-STOREY CAR PARK,216,
BJ39,MULTI-STOREY CAR PARK,550,
BJ4,SURFACE CAR PARK,752,
BJ40,MULTI-STOREY CAR PARK,585,
BJ41,MULTI-STOREY CAR PARK,389,
BJ43,MULTI-STOREY CAR PARK,1004,
BJ44,MULTI-STOREY CAR PARK,994,
BJ48,MULTI-STOREY CAR PARK,672,
BJ49,MULTI-STOREY CAR PARK,4443,
BJ50,MULTI-STOREY CAR PARK,854,
BJ51,MULTI-STOREY CAR PARK,553,
BJ52,MULTI-STOREY CAR PARK,588,
BJ53,MULTI-STOREY CAR PARK,1064,
BJ54,MULTI-STOREY CAR PARK,625,
BJ55,MULTI-STOREY CAR PARK,873,
BJ56,MULTI-STOREY CAR PARK,554,
BJ57,SURFACE CAR PARK,24,
BJ58,MULTI-STOREY CAR PARK,850,
BJ60,MULTI-STOREY CAR PARK,920,
BJ61,MULTI-STOREY CAR PARK,470,
BJ62,SURFACE CAR PARK,68,
BJ63,MULTI-STOREY CAR PARK,1640,
BJ66,MULTI-STOREY CAR PARK,868,
BJ67,MULTI-STOREY CAR PARK,1000,
BJ68,MULTI-STOREY CAR PARK,253,
BJ8,SURFACE CAR PARK,957,
BKE1,SURFACE CAR PARK,22,
BKE4,SURFACE CAR PARK,43,
BKE9,SURFACE CAR PARK,38,
BKRM,MULTI-STOREY CAR PARK,278,
